Bonjour	Hello / Good morning	salutations
Bonsoir	Good evening	salutations
Salut	Hi / Bye (informal)	salutations
Merci	Thank you	salutations
Merci beaucoup	Thank you very much	salutations
S'il vous plaît	Please	salutations
De rien	You're welcome	salutations
Je vous en prie	You're welcome (formal)	salutations
Excusez-moi	Excuse me	salutations
Pardon	Sorry / Pardon	salutations
Au revoir	Goodbye	salutations
À bientôt	See you soon	salutations
À demain	See you tomorrow	salutations
Bonne journée	Have a good day	salutations
Bonne nuit	Good night	salutations
Enchanté	Nice to meet you	salutations
Comment allez-vous ?	How are you?	salutations
Ça va ?	How's it going?	salutations
Oui	Yes	salutations
Non	No	salutations
Où est… ?	Where is…?	questions
Où sont les toilettes ?	Where is the bathroom?	questions
Combien ça coûte ?	How much does it cost?	questions
Qu'est-ce que c'est ?	What is it?	questions
Qu'est-ce que vous faites ?	What are you doing?	questions
Comment ça s'appelle ?	What is it called?	questions
Comment vous appelez-vous ?	What's your name?	questions
Quelle heure est-il ?	What time is it?	questions
Quand ?	When?	questions
Pourquoi ?	Why?	questions
Qui est-ce ?	Who is it?	questions
C'est combien ?	How much is it?	questions
Pouvez-vous m'aider ?	Can you help me?	questions
Est-ce que vous avez… ?	Do you have…?	questions
Y a-t-il… ?	Is there…?	questions
Je voudrais…	I would like…	quotidien
Je veux…	I want…	quotidien
J'ai besoin de…	I need…	quotidien
Je ne comprends pas	I don't understand	quotidien
Je ne sais pas	I don't know	quotidien
Parlez-vous anglais ?	Do you speak English?	quotidien
Je ne parle pas français	I don't speak French	quotidien
Pouvez-vous répéter ?	Can you repeat?	quotidien
Parlez plus lentement, s'il vous plaît	Speak more slowly, please	quotidien
L'addition, s'il vous plaît	The check, please	quotidien
Je cherche…	I'm looking for…	quotidien
J'ai faim	I'm hungry	quotidien
J'ai soif	I'm thirsty	quotidien
Je suis fatigué	I'm tired	quotidien
Je suis perdu	I'm lost	quotidien
Attendez, s'il vous plaît	Wait, please	quotidien
Un instant	One moment	quotidien
J'aime…	I like…	opinions
Je n'aime pas…	I don't like…	opinions
J'adore ça	I love it	opinions
Je pense que…	I think that…	opinions
Je crois que…	I believe that…	opinions
Je suis d'accord	I agree	opinions
Je ne suis pas d'accord	I disagree	opinions
Je suis désolé	I'm sorry	opinions
C'est bon	It's good	opinions
C'est très bien	That's very good	opinions
Parce que	Because	connecteurs
En fait	In fact / Actually	connecteurs
C'est-à-dire	That is to say	connecteurs
Par contre	On the other hand	connecteurs
Donc	So / Therefore	connecteurs
Ça marche	That works / OK	expressions
Bien sûr	Of course	expressions
Pas de problème	No problem	expressions
Je vous remercie	Thank you	salutations
Je vous remercie infiniment	Thank you so much	salutations
Je vous remercie de tout cœur	Thank you from the bottom of my heart	salutations
Mille mercis	A thousand thanks	salutations
Un grand merci	A big thank you	salutations
C'est très gentil à vous	That's very kind of you	salutations
C'est gentil de votre part	That's kind of you	salutations
Vous êtes trop aimable	You're too kind	salutations
Je ne sais comment vous remercier	I don't know how to thank you	salutations
Merci pour tout	Thanks for everything	salutations
Merci d'avance	Thanks in advance	salutations
Merci infiniment pour votre aide	Thank you so much for your help	salutations
C'est moi qui vous remercie	No, thank you	salutations
Il n'y a pas de quoi	You're welcome	salutations
Pas de quoi	No problem	salutations
Avec plaisir	With pleasure	salutations
C'est tout naturel	It's the least I could do	salutations
C'est normal	It's nothing	salutations
Ce n'est rien	It's nothing	salutations
Je vous en prie, c'est tout naturel	You're welcome, it's only natural	salutations
Tout le plaisir est pour moi	The pleasure is all mine	salutations
À votre service	At your service	salutations
Quand vous voulez	Anytime	salutations
N'importe quand	Anytime	salutations
Ne vous inquiétez pas	Don't worry	salutations
Ne vous en faites pas	Don't worry about it	salutations
Pas de souci	No worries	salutations
Aucun souci	No problem at all	salutations
Ce n'est pas grave	It's not a big deal	salutations
Il n'y a pas de mal	No harm done	salutations
Ne vous dérangez pas	Don't trouble yourself	salutations
Ne vous donnez pas cette peine	Don't go to the trouble	salutations
Surtout ne vous dérangez pas	Please don't go out of your way	salutations
Laissez, je vais le faire	Leave it, I'll do it	salutations
Ce n'est pas la peine	There's no need	salutations
Inutile de vous déranger	No need to trouble yourself	salutations
Je suis vraiment désolé	I'm truly sorry	salutations
Je suis désolé de vous déranger	Sorry to bother you	salutations
Excusez-moi de vous déranger	Excuse me for disturbing you	salutations
Désolé de vous importuner	Sorry to disturb you	salutations
Je m'excuse pour le retard	I apologize for being late	salutations
Veuillez m'excuser	Please excuse me	salutations
Je vous prie de m'excuser	I beg your pardon	salutations
Toutes mes excuses	My apologies	salutations
Je vous présente mes excuses	I offer you my apologies	salutations
Je suis confus	I'm terribly sorry	salutations
Je suis navré	I'm so sorry	salutations
Ce n'était pas mon intention	I didn't mean to	salutations
Je ne voulais pas vous offenser	I didn't mean to offend you	salutations
Je vous demande pardon	I beg your pardon	salutations
Puis-je vous aider ?	Can I help you?	salutations
Est-ce que je peux vous aider ?	May I help you?	salutations
Avez-vous besoin d'aide ?	Do you need help?	salutations
Si vous avez besoin de quoi que ce soit	If you need anything	salutations
N'hésitez pas à me demander	Don't hesitate to ask me	salutations
N'hésitez pas	Feel free	salutations
Je suis là si besoin	I'm here if you need	salutations
Je vous en prie, faites donc	Please, go ahead	salutations
Allez-y	Go ahead	salutations
Après vous	After you	salutations
Je vous laisse passer	Let me let you through	salutations
Faites comme chez vous	Make yourself at home	salutations
Mettez-vous à l'aise	Make yourself comfortable	salutations
Asseyez-vous, je vous en prie	Please have a seat	salutations
Félicitations !	Congratulations!	salutations
Toutes mes félicitations	Congratulations	salutations
Je vous félicite	I congratulate you	salutations
Chapeau !	Well done!	salutations
Bravo !	Well done!	salutations
Bien joué	Nicely done	salutations
Bonne chance !	Good luck!	salutations
Je vous souhaite bonne chance	I wish you good luck	salutations
Bon courage	Hang in there	salutations
Bon courage pour la suite	Good luck with the rest	salutations
Bonne continuation	All the best going forward	salutations
Bon appétit	Enjoy your meal	salutations
Bon appétit à tous	Enjoy your meal everyone	salutations
À la vôtre !	Cheers!	salutations
Santé !	Cheers!	salutations
Bonne soirée	Have a good evening	salutations
Bon week-end	Have a good weekend	salutations
Bonnes vacances	Have a nice holiday	salutations
Bon voyage	Have a good trip	salutations
Bonne route	Drive safely	salutations
Prenez soin de vous	Take care of yourself	salutations
Reposez-vous bien	Get some good rest	salutations
Remettez-vous vite	Get well soon	salutations
Meilleurs vœux	Best wishes	salutations
Je vous souhaite le meilleur	I wish you all the best	salutations
Toutes mes condoléances	My deepest condolences	salutations
Je pense bien à vous	I'm thinking of you	salutations
Portez-vous bien	Stay well	salutations
Ravi de vous avoir rencontré	Delighted to have met you	salutations
C'est très aimable à vous d'être venu	It's very kind of you to come	salutations
Je m'appelle Marie.	My name is Marie.	salutations
Je me présente.	Let me introduce myself.	salutations
Moi, c'est Thomas.	I'm Thomas.	salutations
Ravi de vous rencontrer.	Nice to meet you.	salutations
Ravie de faire votre connaissance.	Pleased to meet you.	salutations
Enchanté de vous connaître.	Delighted to know you.	salutations
Je suis content de vous rencontrer.	I'm glad to meet you.	salutations
C'est un plaisir de vous rencontrer.	It's a pleasure to meet you.	salutations
Permettez-moi de me présenter.	Allow me to introduce myself.	salutations
Je vous présente mon ami Paul.	This is my friend Paul.	salutations
Je vous présente ma collègue.	This is my colleague.	salutations
Voici mon mari.	This is my husband.	salutations
Voici ma femme.	This is my wife.	salutations
Je te présente ma sœur.	This is my sister.	salutations
On se connaît déjà, je crois.	I think we've already met.	salutations
On s'est déjà rencontrés quelque part ?	Have we met somewhere before?	salutations
Bienvenue parmi nous.	Welcome among us.	salutations
Heureux de vous accueillir.	Happy to welcome you.	salutations
Vous pouvez m'appeler Alex.	You can call me Alex.	salutations
Tout le monde m'appelle Jo.	Everyone calls me Jo.	salutations
